id	name	information	external_website	venue	city_name	country_id	venue_address	venue_details	cell_name	cancelled	event_specs	delegates	organizers	year	month	day	end_year	end_month	end_day	latitude_microdegrees	longitude_microdegrees
15AnosSanSilvestre2024	15 Años San Silvestre 2024	Organizadores/Organizers: Rafael Jiménez Cabrera Carlos Carreño Haiver Reyes Patrocinadores/Sponsors: Centro Comercial San Silvestre Speedcubing Colombia ![](https://www.worldcubeassociation.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbnQrIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7d3a37e0c591748214f6708f0d2372dacd516b90/image.png)	NULL	Centro Comercial y Empresarial San Silvestre	Barrancabermeja	Colombia	Diagonal 56 # 18-88	Tercer piso, al frente de cinepolis	15 Años San Silvestre 2024	0	222 333 333oh 444 pyram skewb	[{Andres Felipe Rodríguez Londoño}{mailto:155647@worldcubeassociation.org}] [{Dennis Rosero}{mailto:5593@worldcubeassociation.org}] [{Haiver Lenin Reyes Garcia}{mailto:71512@worldcubeassociation.org}]	[{Haiver Lenin Reyes Garcia}{mailto:71512@worldcubeassociation.org}] [{Rafael Jiménez Cabrera}{mailto:29553@worldcubeassociation.org}] [{Speedcubing Colombia}{mailto:324522@worldcubeassociation.org}]	2024	7	7	2024	7	7	7067333	-73857894
1aLordagskubeniVasteras2024	1:a Lördagskuben i Västerås 2024	Välkomna till 1:a Lördagskuben i Västerås 2024! Alla är varmt välkomna att delta, oavsett om du löser kuben på 5 sekunder eller 5 minuter samt oavsett tidigare tävlingserfarenhet. Vi ber er läsa igenom alla flikar på denna sida eftersom de innehåller mycket värdefull information. -- Welcome to 1:a Lördagskuben i Västerås 2024! Everyone is welcome to participate, regardless of whether you solve the cube in 5 seconds or 5 minutes and regardless of prior competition experience. We ask you to read through all the tabs on this page as they contain very valuable information.	NULL	Viksängsskolan	Västerås	Sweden	Viksängsgatan 23, 723 47 Västerås	Matsalen	1:a Lördagskuben i Västerås 2024	0	222 333 333bf 333oh 444 444bf 555 555bf 666 777 clock minx pyram skewb sq1	[{Daniel Wallin}{mailto:567@worldcubeassociation.org}] [{Helmer Ewert}{mailto:13064@worldcubeassociation.org}] [{Peter Hugosson-Miller}{mailto:193382@worldcubeassociation.org}] [{Rasmus Händén}{mailto:18006@worldcubeassociation.org}]	[{Anton Löfberg}{mailto:212140@worldcubeassociation.org}] [{SveKub}{mailto:236778@worldcubeassociation.org}]	2024	2	3	2024	2	3	59607616	16584644
1AVG2013	1 AVG competition 2013	This, very serious (not an April Fools joke), competition is Arnaud's way of saying thank you to all the people that have organised competitions that he has enjoyed so much in the past. It is also the last day that there is only 1 AvG because the next day Aki and Arnaud will get married.	http://waschbaerli.com/wca/1avg	[Scouting Paulus](http://scoutingpaulus.nl)	Delft	Netherlands	Baden Powellpad 2, Delft		1 AVG 2013	0	222 333 333bf 333oh 444 555 666 777 clock minx pyram sq1	[{Ron van Bruchem}{mailto:1@worldcubeassociation.org}]	[{Arnaud van Galen}{mailto:57606@worldcubeassociation.org}]	2013	4	1	2013	4	1	52010740	4356539
1BodyCubing2017	1 Body Cubing 2017	$15 base fee (includes 3x3) + $2 for each event after that. Registration fee is non-refundable. There will be an 80 competitor limit.	https://www.cubingusa.com/1BodyCubing2017/	[Rocky Mountain Family Church](http://rmfchurch.org/)	Pueblo, Colorado	USA	1700 Horseshoe Drive Pueblo, CO, 81001	Signs will be posted	1 Body Cubing 2017	0	222 333 333oh 444 clock pyram skewb	[{Daniel Hayes}{mailto:258@worldcubeassociation.org}]	[{Joel Davis}{mailto:19091@worldcubeassociation.org}] [{Tristan Steeves}{mailto:54091@worldcubeassociation.org}]	2017	6	3	2017	6	3	38293909	-104592919
1stBarpetaCubeOpen2024	1st Barpeta Cube Open 2024	* **Late entries won't be allowed to participate. Adhere to the [schedule](https://www.worldcubeassociation.org/competitions/1stBarpetaCubeOpen2024#competition-schedule).** * **Participants are expected to volunteer when not actively participating.** * **New-comers are required to bring a valid goverment ID proof document for verification.**	NULL	[Sublime Academy, Howly](https://maps.app.goo.gl/gNktE7RRsAo88kLU8)	Barpeta, Assam	India	Howly, Itarvita, Assam 781316	Section A, 2nd floor	1st Barpeta Cube Open 2024	0	222 333 333oh 444 pyram skewb sq1	[{Spondon Nath}{mailto:450@worldcubeassociation.org}]	[{Arif Mahmud}{mailto:50967@worldcubeassociation.org}] [{Ariful Islam Khan}{mailto:401363@worldcubeassociation.org}]	2024	2	4	2024	2	4	26413398	90986591
1stDibrugarhOpen2018	1st Dibrugarh Open 2018	The competition is open to all competitors. No experience in WCA competitions is necessary, but competitors should be familiar with the regulations and certain event-based time limits will be in place. **Steps to register on spot:** Spot registration will be open from 8:00 a.m to 11:00 am on the day of competition for events that haven't started by the time you register. Please bring your ID cards for identification at the college gate. Please check information regarding payment and schedule under the respective tabs.	NULL	[Dibrugarh University, Dibrugarh](https://www.dibru.ac.in/)	Dibrugarh, Assam	India	Dibrugarh University, NH-37, Rajapeta, Dibrugarh, Assam 786004	Core Building, DUIET	1st Dibrugarh Open 2018	0	222 333 333bf 333fm 333oh 444 555 minx pyram sq1	[{Sachin Arvind}{mailto:96587@worldcubeassociation.org}]	[{Kabyanil Talukdar}{mailto:17767@worldcubeassociation.org}] [{Nekibur Zaman}{mailto:126763@worldcubeassociation.org}]	2018	11	10	2018	11	10	27451715	94890372
1stJorhatOpen2019	1st Jorhat Open 2019	The competition is open to all competitors. No experience in WCA competitions is necessary, however competitors should be familiar with the regulations. 	NULL	Jorhat Engineering College	Jorhat, Assam	India	Jorhat Engineering College , Garmur , Jorhat , Assam - 785007	Auditorium 	1st Jorhat Open 2019	0	222 333 333bf 333fm 333oh 444 555 666 minx	[{Sachin Arvind}{mailto:96587@worldcubeassociation.org}]	[{Naba Kashyap Mudoi}{mailto:167818@worldcubeassociation.org}] [{Yuvraj Gogoi}{mailto:112527@worldcubeassociation.org}]	2019	9	14	2019	9	15	26745562	94249915
1stSalemOpen2022	1st Salem Open 2022	* Kindly bring your ID card while entering the campus. * Wearing masks all the time and sanitizing hands frequently is mandatory for both Participants and guests. * If you're participating in a WCA competition for first time or unaware of competition rules, make sure that you attend the tutorial session. * Participants must bring their own cubes. * Slots left over from Online registrations will be filled through On the spot registrations. The slots will be filled according to First come First serve basis. * For example: If 75 slots are filled through Online registrations, only 25 slots will be opened for On the spot registrations. So, we recommend the competitors to reserve their place in the competition through online payments. * If all the 100 slots are filled through Online registrations, then there will not be any On the spot registrations. * Kindly make your own arrangements for your food. 	NULL	Mukundha International School	Salem, Tamil Nadu	India	DPC Campus, Chettiarkadai Bus Stop, Muthunaicken Patty, Pagalpatty [PO], Salem, Tamil Nadu, 636304	Activity Room, Mukundha International School	1st Salem Open 2022	0	222 333 333oh pyram	[{Sachin Arvind}{mailto:96587@worldcubeassociation.org}]	[{Mohamed Arif}{mailto:150922@worldcubeassociation.org}] [{Prabu Karthiek}{mailto:255400@worldcubeassociation.org}] [{SpeedCubers India}{mailto:127498@worldcubeassociation.org}] [{Vikram Gopinath}{mailto:119672@worldcubeassociation.org}]	2022	6	26	2022	6	26	11692463	78064693
1stSriLankanOpen2022	1st Sri Lankan Open 2022	* Make sure you will be available at the venue at least 15 minutes before your event starts. You won't be allowed to participate in an event if you reach late. You can refer "Schedule" tab to see the starting time of each event. * If you're participating in a WCA competition for the first time or not aware of competition rules, make sure that you attend the tutorial session at 9:00 a.m. * If you're participating in a WCA competition for the first time, please bring your ID card as well. (NIC/Passport/Postal ID/Driving License) * All participants are expected to volunteer for the event when they are not participating. The roles could be of a judge, runner, or a scrambler, depending upon the situation. COVID-19 Specific Information: * Wearing masks, frequently sanitizing hands and following all local goverment health guidelines is mandatory while attending the competition. * All the participants, guests/spectators should be fully vaccinated (at least two doses). Please bring proof of vaccination with you. * If you are not vaccinated, you must provide proof of a negative COVID-19 Rapid Antigen test within 72 hours before the start of competition. In case of failing to submit the proof, Organizing team can deny entry to such participants to the competition. And No refund will be allowed in that case. * We strongly recommend limiting the number of guests you bring for the safety of all attendees. The maximum number of guests that is preferred to accompay a competitor would be limited to TWO. 	NULL	Sanora Restaurant and Reception Hall	Colombo	Sri Lanka	Sanora Restaurant and Reception Hall, No. 668, Pannipitiya Road, Thalawathugoda, Sri Lanka.	Second Floor, Banquet hall	1st Sri Lankan Open 2022	0	222 333 333oh 444 555 pyram skewb	[{Sachin Arvind}{mailto:96587@worldcubeassociation.org}]	[{Kalindu Sachintha Wijesundara}{mailto:240870@worldcubeassociation.org}]	2022	4	2	2022	4	2	6879843	79934466
200Peru2024	200 Perú 2024	 	NULL	Centro Comercial El Conquistador	Arequipa	Peru	Calle Octavio Muñoz Najar 128		200 Perú 2024	0	222 333 333bf 333mbf 333oh 444 minx pyram	[{Helar Gomez Chalco}{mailto:18016@worldcubeassociation.org}] [{Natán Riggenbach}{mailto:79@worldcubeassociation.org}] [{Pedro Luis Mamani Suclla}{mailto:16270@worldcubeassociation.org}]	[{Natán Riggenbach}{mailto:79@worldcubeassociation.org}]	2024	7	13	2024	7	13	-16400538	-71532499
24HorasElTambo2024	24 Horas El Tambo 2024	![](https://www.worldcubeassociation.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzU3MTYsInB1ciI6ImJsb2JfaWQifX0=--3f5b9b733102d13e16d47fc9b6f3b4238f2758c5/Captura%20de%20pantalla%202024-08-20%20a%20la(s)%208.09.02%E2%80%AFp.%C2%A0m..png) ?? Nota: Tenga en cuenta que esta es una competencia muy especial con condiciones completamente diferentes a las habituales. Será muy agotadora, y recomendamos pensar en si realmente podrá completar la competencia. La competencia no se recomienda para niños pequeños ni para participantes completamente nuevos. ?? Note: Please note that this is a very special competition with completely different conditions than usual. It will be very tiring, and we recommend thinking about whether you will actually be able to complete the competition. The competition is not recommended for younger children or for completely new participants. traduce a espanol	NULL	Mishki Cafe	El Tambo	Ecuador	Carlos Pinos y Dositeo González 	Cafeteria Mishki 	24 Horas El Tambo 2024	0	222 333 333bf 333fm 333oh 444 555 666 777 clock minx pyram skewb sq1	[{Ronny Morocho}{mailto:69101@worldcubeassociation.org}]	[{Ronny Morocho}{mailto:69101@worldcubeassociation.org}]	2024	10	12	2024	10	13	-2511812	-78927687
24HorasemSalvador2024	24 Horas em Salvador 2024	![](https://www.worldcubeassociation.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBclp5IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3eb495a7327c9da34d21481bc68870f97c1e03ae/image.png) Inscrição de competidor: R$ 50,00 **Por se tratar de um local com tamanho limitado, será permitido apenas um convidado por competidor, sem a possibilidade de adição de novos convidados** Limite de competidores: 40 ​ ​ Registration fee: R$ 50,00 **As the venue has a limited size, it will be permitted a single guest per competitor, without any possibility of the addition of other guests.** Competitor limit: 40 ​ ​ REGISTRO A participação nessa competição requer do competidor o conhecimento dos seguintes requisitos, sem o cumprimento destes, a inscrição não será aceita: ​ Estar familiarizado com o Regulamento da WCA; Se inscrever através do site da WCA, realizar o pagamento de forma antecipada e mandar o comprovante para o organizador através do e-mail (bahiacubomagico@gmail.com) indicando o nome completo do participante. Detalhes sobre o pagamento da inscrição abaixo. ​ Aguardar até que o registro eletrônico seja aceito. Caso não participe mesmo com o pagamento, não haverá devolução do dinheiro. Há um limite de 40 competidores Outras informações adicionais verifique no site da WCA ou entre em contato com o organizador através do e-mail (bahiacubomagico@gmail.com). ​ Para os competidores menores de idade que forem ficar desacompanhados durante o período da noite, será necessário o envio de uma autorização de um pai ou responsável autorizando a permanência após este horário. Esta é uma competição de 24 horas e portanto atente-se a isso. Caso não possa ficar as 24 horas, não há necessidade, preze pela sua saúde e bem-estar mental. REGISTRATION The participation in this competition requires the comprehension and acceptance of the following requirements, without fulfilling these requirements, the registration will not be accepted: ​ Register through the WCA website, pay in advance and send proof to the organizer via email (bahiacubomagico@gmail.com) indicating the participant's full name. More details about the payment below; ​ Wait for your registration to be approved online. In the case of not participating and having already paid the registration, no money will be returned. There will be a limit of 40 competitors. For additional information, check the WCA website or contact the organizer via email, (bahiacubomagico@gmail.com) To underage competitors that will stay alone during the night period, it will be requested an express authorization of a parent or guardian authorizing the competitor's participation during said period. This is a 24 hour competition, therefore, be attentive to that. In case you're not able to stay the 24 hours, there is no need to, value your health and mental well-being.	NULL	Residência Privada em Stella Maris	Salvador, Bahia	Brazil	Stella Maris	O endereço completo será enviado aos competidores registrados assim que as inscrições fecharem.	24 Horas em Salvador 2024	0	222 333 333bf 333oh 444 555 666 777 clock minx pyram skewb sq1	[{Francisco Thales Rocha Sousa}{mailto:33493@worldcubeassociation.org}] [{João Pedro dos Santos Costa}{mailto:7697@worldcubeassociation.org}] [{João Vinícius Santos}{mailto:37007@worldcubeassociation.org}] [{Kalani Oliveira}{mailto:106027@worldcubeassociation.org}] [{Luan Ferreira}{mailto:60844@worldcubeassociation.org}] [{Marjorie Nunes}{mailto:6196@worldcubeassociation.org}] [{Matheus Casassa}{mailto:42664@worldcubeassociation.org}]	[{Cubo Mágico Bahia}{mailto:57602@worldcubeassociation.org}]	2024	6	8	2024	6	9	-12943067	-38338084
24HoursinAker2024	24 Hours in Åker 2024	Varmt välkomna till denna 24-timmarstävling i Åkers Styckebruk! Precis som vanligt så är alla som önskar varmt välkomna att delta, men vi vill ändå utfärda en kraftig varning kring att tävlingen pågår nonstop i just 24 timmar, och har ett väldigt speciellt koncept. Därför passar tävlingen sannolikt inte varken nya eller yngre deltagare särskilt bra. Läs gärna igenom alla flikar på denna sida så du inte missar någon viktig information, särskilt fliken [koncept](https://www.worldcubeassociation.org/competitions/24HoursinAker2024#43667-koncept-concept). ----- A warm welcome to this 24-hour competition in Åkers Styckebruk! Just as usual, everyone who wishes is warmly welcome to participate, but we still want to issue a strong warning that the competition runs non-stop for exactly 24 hours, and has a very special concept. Therefore, the competition probably does not suit neither new or younger participants very well. Please read through all the tabs on this page so you don't miss any important information, especially the [concept tab](https://www.worldcubeassociation.org/competitions/24HoursinAker2024#43667-koncept-concept). [![](https://cuboss.se/wp-content/uploads/2024/01/cuboss-svekub-loggor.png)](https://svekub.se/om_oss/svekub-cuboss/)	NULL	[Folkets Hus](https://www.strangnas.se/uppleva-och-gora/motesplatser/motesplats-akers-styckebruk)	Åkers Styckebruk	Sweden	Torget 1, 647 51 Åkers Styckebruk		24 Hours in Åker 2024	0	222 333 333bf 333fm 333mbf 333oh 444 444bf 555 555bf 666 777 clock minx pyram skewb sq1	[{Axel Flordal}{mailto:34633@worldcubeassociation.org}] [{Daniel Wallin}{mailto:567@worldcubeassociation.org}] [{Helmer Ewert}{mailto:13064@worldcubeassociation.org}] [{Leo Lindqvist}{mailto:32202@worldcubeassociation.org}] [{Peter Hugosson-Miller}{mailto:193382@worldcubeassociation.org}]	[{Helmer Ewert}{mailto:13064@worldcubeassociation.org}] [{SveKub}{mailto:236778@worldcubeassociation.org}]	2024	7	6	2024	7	7	59253315	17097545
